unlocode,country,location_code,name,name_ascii,subdivision,latitude,longitude
CHBUR,CH,BUR,Bursinel,Bursinel,VD,46.43333333333333,6.283333333333333
CHCBL,CH,CBL,Collonge-Bellerive,Collonge-Bellerive,GE,46.25,6.2
CHCHE,CH,CHE,Chevenez,Chevenez,22,47.38333333333333,7.0
CHCHS,CH,CHS,Chesieres,Chesieres,VD,46.3,7.05
CHCOP,CH,COP,Coppet,Coppet,GE,46.31666666666667,6.2
CHCVT,CH,CVT,Couvet,Couvet,NE,46.916666666666664,6.633333333333333
CHDOT,CH,DOT,Döttingen,Dottingen,AG,47.56666666666667,8.25
CHDSF,CH,DSF,Epalinges,Epalinges,VD,46.55,6.666666666666667
CHEPS,CH,EPS,Epesses,Epesses,VD,46.483333333333334,6.733333333333333
CHERB,CH,ERB,Erlenbach,Erlenbach,ZH,47.3,8.6
CHFEM,CH,FEM,Feldmeilen,Feldmeilen,ZH,47.28333333333333,8.616666666666667
CHFLA,CH,FLA,Fläsch,Flasch,GR,47.016666666666666,9.516666666666667
CHGEL,CH,GEL,Lancy,Lancy,GE,46.18333333333333,6.133333333333334
CHGRG,CH,GRG,Gorgier,Gorgier,NE,46.9,6.766666666666667
CHGTT,CH,GTT,Güttingen,Guttingen,TG,47.6,9.283333333333333
CHHBG,CH,HBG,Herrliberg,Herrliberg,ZH,47.28333333333333,8.616666666666667
CHHHM,CH,HHM,Cham,Cham,ZG,47.18333333333333,8.466666666666667
CHHTE,CH,HTE,Hauterive,Hauterive,NE,47.016666666666666,6.966666666666667
CHK3L,CH,K3L,Kollbrunn,Kollbrunn,ZH,47.45,8.783333333333333
CHKPP,CH,KPP,Koppigen,Koppigen,BE,47.13333333333333,7.6
CHLDO,CH,LDO,Le Landeron,Le Landeron,NE,47.05,7.066666666666666
CHLLU,CH,LLU,Le Lieu,Le Lieu,VD,46.65,6.266666666666667
CHMAU,CH,MAU,Maur,Maur,ZH,47.333333333333336,8.666666666666666
CHMDF,CH,MDF,Männedorf,Mannedorf,ZH,47.416666666666664,9.133333333333333
CHMIG,CH,MIG,Miege,Miege,VS,46.31666666666667,7.55
CHMLN,CH,MLN,Meilen,Meilen,ZH,47.28333333333333,8.633333333333333
CHMWA,CH,MWA,Meisterschwanden,Meisterschwanden,AG,47.28333333333333,8.233333333333333
CHN66,CH,N66,Choindez,Choindez,JU,47.31666666666667,7.383333333333334
CHNDB,CH,NDB,Niederbipp,Niederbipp,BE,47.266666666666666,7.683333333333334
CHNEF,CH,NEF,Näfels,Nafels,GL,47.1,9.066666666666666
CHODB,CH,ODB,Oberried am Brienzersee,Oberried am Brienzersee,BE,46.733333333333334,7.95
CHPOR,CH,POR,Porto Ronco,Porto Ronco,TI,46.13333333333333,8.733333333333333
CHRGT,CH,RGT,Rougemont,Rougemont,VD,46.483333333333334,7.216666666666667
CHRGU,CH,RGU,Klingnau,Klingnau,AG,47.583333333333336,8.25
CHRMH,CH,RMH,Romanshorn,Romanshorn,TG,47.56666666666667,9.383333333333333
CHRNB,CH,RNB,Reichenbach,Reichenbach,BE,46.61666666666667,7.683333333333334
CHRRN,CH,RRN,Raron,Raron,VS,46.3,7.8
CHSAS,CH,SAS,Saint-Aubin-Sauges,Saint-Aubin-Sauges,NE,46.88333333333333,6.766666666666667
CHSEN,CH,SEN,Schenkon,Schenkon,LU,47.166666666666664,8.133333333333333
CHSMK,CH,SMK,Schmerikon,Schmerikon,SG,47.233333333333334,8.933333333333334
CHSSV,CH,SSV,Saint-Sulpice,Saint-Sulpice,VD,46.516666666666666,6.566666666666666
CHSTA,CH,STA,Stansstad,Stansstad,NW,46.96666666666667,8.333333333333334
CHSTI,CH,STI,Steinhausen,Steinhausen,ZG,47.2,8.466666666666667
CHTAN,CH,TAN,Twann,Twann,BE,47.1,7.15
CHTTG,CH,TTG,Salenstein,Salenstein,TG,47.666666666666664,9.05
CHTZE,CH,TZE,Utzenstorf,Utzenstorf,BE,47.13333333333333,7.55
